Epoch,Accuracy,Loss
1,55.879999999999995,0.1939
2,55.879999999999995,0.0045
3,54.06999999999999,0.0032
4,61.99,0.003
5,57.010000000000005,0.0029
6,55.879999999999995,0.0028
7,47.74,0.0027
8,73.98,0.0026
9,53.169999999999995,0.0026
10,68.55,0.0025
