Epoch,Accuracy,Loss
1,97.28999999999999,0.3675
2,99.1,0.2857
3,98.87,0.2608
4,99.1,0.2482
5,99.1,0.2343
6,98.87,0.2395
7,99.32,0.2417
8,98.87,0.2447
9,98.87,0.2362
10,98.42,0.251
