Epoch,Accuracy,Loss
1,77.60000000000001,0.1709
2,86.42999999999999,0.0137
3,93.44,0.0062
4,95.48,0.004
5,97.50999999999999,0.003
6,98.19,0.0025
7,98.42,0.0022
8,98.19,0.002
9,97.06,0.0018
10,98.42,0.0018
