Epoch,Accuracy,Loss
1,91.4,0.3828
2,61.09,0.3205
3,94.8,0.2734
4,43.44,0.2852
5,64.48,0.3602
6,90.5,0.2975
7,97.06,0.2519
8,94.12,0.2461
9,52.49,0.2697
10,89.59,0.3005
