Epoch,Accuracy,Loss
1,93.21000000000001,0.5321
2,95.25,0.3502
3,97.06,0.3035
4,96.83,0.2818
5,97.50999999999999,0.2675
6,98.64,0.2599
7,99.77000000000001,0.2709
8,97.28999999999999,0.259
9,97.06,0.254
10,98.42,0.2514
