Epoch,Accuracy,Loss
1,98.87,0.2957
2,99.32,0.234
3,99.32,0.228
4,98.87,0.2236
5,99.55000000000001,0.2294
6,99.1,0.2239
7,99.32,0.216
8,98.19,0.2172
9,99.55000000000001,0.2145
10,98.64,0.2181
