Epoch,Accuracy,Loss
1,0.0,0.5806
2,0.0,0.312
3,0.0,0.1602
4,54.300000000000004,0.0907
5,70.81,0.0583
6,63.349999999999994,0.0412
7,73.08,0.0311
8,74.42999999999999,0.0246
9,76.7,0.0202
10,76.02,0.017
