Epoch,Accuracy,Loss
1,4.75,0.3487
2,44.12,0.0198
3,55.879999999999995,0.0048
4,49.769999999999996,0.0035
5,44.12,0.0032
6,44.12,0.003
7,44.12,0.003
8,55.879999999999995,0.0029
9,44.12,0.0028
10,57.010000000000005,0.0028
