Epoch,Accuracy,Loss
1,95.02000000000001,0.4804
2,96.38,0.34
3,97.50999999999999,0.3091
4,99.32,0.2772
5,99.32,0.2649
6,98.87,0.2537
7,99.32,0.2528
8,99.55000000000001,0.2429
9,99.1,0.2439
10,99.32,0.2425
