Epoch,Accuracy,Loss
1,47.29,0.6874
2,66.74,0.6751
3,66.52,0.6808
4,61.309999999999995,0.6823
5,64.25,0.6783
6,71.49,0.6594
7,65.16,0.6394
8,55.879999999999995,0.6871
9,45.93,0.6924
10,48.42,0.6884
