Epoch,Accuracy,Loss
1,97.28999999999999,0.3654
2,97.74000000000001,0.2776
3,98.87,0.2583
4,99.32,0.2469
5,98.64,0.2403
6,99.32,0.2459
7,98.87,0.2349
8,99.55000000000001,0.2302
9,98.42,0.2276
10,99.1,0.2328
