Epoch,Accuracy,Loss
1,97.50999999999999,0.3602
2,98.42,0.3006
3,97.06,0.2762
4,99.55000000000001,0.2729
5,98.64,0.2704
6,98.87,0.2598
7,99.32,0.259
8,98.64,0.2868
9,99.1,0.2546
10,99.32,0.2618
