Epoch,Accuracy,Loss
1,98.42,0.3033
2,99.32,0.2363
3,99.1,0.2419
4,99.1,0.2229
5,98.87,0.2166
6,99.32,0.2246
7,99.32,0.2195
8,99.32,0.2131
9,99.1,0.2177
10,99.32,0.2113
