Epoch,Accuracy,Loss
1,97.74000000000001,0.4389
2,98.64,0.3058
3,98.64,0.2756
4,98.87,0.2687
5,99.1,0.2514
6,99.32,0.2375
7,99.55000000000001,0.239
8,100.0,0.2319
9,99.55000000000001,0.2269
10,99.32,0.236
