Epoch,Accuracy,Loss
1,82.35,0.5963
2,93.21000000000001,0.425
3,94.8,0.3576
4,95.93,0.3146
5,97.50999999999999,0.2973
6,97.74000000000001,0.2832
7,98.87,0.3018
8,98.64,0.2746
9,99.1,0.3334
10,99.32,0.2711
