Epoch,Accuracy,Loss
1,86.65,0.4027
2,57.24,0.366
3,58.37,0.3929
4,95.93,0.3039
5,87.78,0.2846
6,82.13000000000001,0.3208
7,78.05,0.3654
8,90.05,0.3139
9,97.06,0.2723
10,75.79,0.3161
