Epoch,Accuracy,Loss
1,97.96000000000001,0.3901
2,99.32,0.3295
3,98.87,0.322
4,98.87,0.2819
5,98.64,0.304
6,98.42,0.2777
7,97.96000000000001,0.2839
8,98.64,0.282
9,98.87,0.2684
10,99.32,0.2625
