"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202204","경원선","청량리(서울시립대입구)","1279","7","5758","1447","7672","10950","26119","15295","39893","23493","22894","29834","29413","30035","22419","30532","26340","28344","32354","30126","26539","31923","32084","33965","33752","33210","30958","31245","36278","47535","21779","32784","25348","17740","16258","19298","8868","10760","3512","7143","33","1109","0","0","0","0","0","0","20220503"
"202204","경의선","서울역","0","0","850","15","1095","6812","2857","22222","2871","36444","2461","17867","1642","7174","1903","5225","2758","4079","3413","6628","3712","2969","5879","3021","8025","2978","15576","4693","28268","5226","10332","3174","5398","2001","6022","1766","1090","194","1701","891","0","107","0","0","0","0","0","0","20220503"
"202204","공항철도 1호선","마곡나루(서울식물원)","8","1","2106","664","3912","7324","13113","22694","13864","59023","7641","22594","4921","7848","5503","5995","6438","5726","6592","6375","6526","6241","8528","5959","14824","6615","39975","9704","44696","15423","15737","10384","9794","6388","7562","5836","5098","5678","1850","3850","424","3385","0","0","0","0","0","0","20220503"
"202204","공항철도 1호선","서울역","162","0","2261","620","2212","9333","9800","15244","11073","22747","8071","17500","8763","14138","10555","12530","12989","13416","13753","12194","10753","10705","16902","12336","18036","12610","21708","14203","26825","18105","18814","14599","13322","9397","15893","8263","11742","5489","5458","2941","5","1776","0","0","0","0","0","0","20220503"
"202204","분당선","서울숲","94","0","2493","499","4870","4832","12759","19443","21016","41642","13550","30374","8204","26026","8821","25863","11577","27812","14158","34375","19047","34488","27278","33228","34991","27388","49458","25044","59236","28746","33839","18337","23462","8863","19599","7269","13616","6575","3548","3916","88","987","0","0","0","0","0","0","20220503"
"202203","1호선","서울역","527","9","7877","5587","10214","32887","33049","76154","51901","162519","38945","97579","38098","51770","44216","43856","49494","47987","53094","47524","46486","43746","58705","48059","69960","48759","104829","58319","154574","63617","74238","41439","50648","27963","51920","23562","33549","17564","12282","10263","40","810","0","1","0","0","0","0","20220403"
"202203","1호선","청량리(서울시립대입구)","823","14","9401","4108","13084","21226","30796","14952","39251","29802","25254","26688","23681","30851","31111","35970","34353","36250","36487","40911","37716","41550","42076","39491","49805","34937","44821","34678","37316","40845","20103","25789","14315","15321","10460","14200","6905","12452","2354","7623","33","995","0","0","0","0","0","0","20220403"
"202203","2호선","강변(동서울터미널)","11","0","7299","1734","22866","16048","68515","19284","94530","37417","64119","29512","44165","27587","41068","26985","40384","31480","40287","34585","37149","36098","38466","42780","40625","47208","45527","62621","50751","91358","33478","64989","25331","40910","20126","33965","12534","32938","4731","18574","6","700","0","1","0","0","0","0","20220403"
"202203","2호선","서울대입구(관악구청)","4136","9","25272","2043","37667","12140","109621","27550","157170","65814","101493","58270","56360","52042","52132","43441","59316","47208","61785","52467","56410","53515","60529","58236","67951","67939","77529","96191","83971","158780","51027","127247","42529","72572","44525","66937","43043","68610","17678","44743","4","13635","0","0","0","0","0","0","20220403"
"202203","3호선","경복궁(정부서울청사)","107","1","2087","1505","5114","12411","11350","36676","16986","93065","15966","57068","12753","33494","15159","29683","19492","31021","24224","31844","28102","27814","38135","23003","47462","23303","60113","22968","87781","25879","36478","16159","28481","9473","27665","7861","18777","7653","6181","4918","3","221","0","0","0","0","0","0","20220403"
